Method,SST-2 Acc mean,SST-2 Acc std,SST-2 F1 mean,SST-2 F1 std
AgentCF (Ours),0.8616333333333334,0.00459818804893113,0.8614,0.004613025037868342
No Augmentation,0.8360333333333333,0.008655826554023206,0.8360333333333333,0.008655826554023206
Single-LLM + Filtering,0.8428666666666667,0.0019629909152447038,0.8427000000000001,0.0018357559750685703
Single-LLM Counterfactual,0.8402333333333334,0.009755169569686296,0.8402,0.009706183596038104
Standard Augmentation,0.8490333333333333,0.00351330803279952,0.8489333333333334,0.0034486712417007327
