Method,Label Success mean,Label Success std,Semantic Sim mean,Semantic Sim std,Edit Similarity mean,Edit Similarity std
AgentCF (Ours),0.4364666666666667,0.00569766033853662,0.6147333333333334,0.0019502136635079735,0.5749666666666667,0.004760602202803076
Single-LLM + Filtering,0.9846666666666667,0.0019857828011475135,0.8215666666666667,0.006950059951779805,0.7217333333333333,0.009188217092196534
Single-LLM Counterfactual,0.4021333333333333,0.013012429954982788,0.6071666666666666,0.006789943544193376,0.5645333333333333,0.005619905100029113
