Method,OOD Dataset,ID Acc mean,ID Acc std,OOD Acc mean,OOD Acc std,Robustness Gap mean,Robustness Gap std
AgentCF (Ours),imdb,0.8616333333333334,0.00459818804893113,0.7792666666666667,0.0077105987662005465,0.08236666666666666,0.011584616235911028
No Augmentation,imdb,0.8360333333333333,0.008655826554023206,0.7791,0.003364520768252129,0.056933333333333336,0.011971772355559279
Single-LLM + Filtering,imdb,0.8459666666666666,0.007791234390860884,0.7846333333333334,0.006545481902299697,0.061366666666666674,0.01434758980920954
Single-LLM Counterfactual,imdb,0.8463333333333333,0.00637599665411871,0.7697666666666666,0.019841706915820864,0.07653333333333334,0.01735232933451107
Standard Augmentation,imdb,0.8490333333333333,0.00351330803279952,0.7813,0.00907138357694128,0.0677,0.009753460924205318
