Variant,Acc mean,Acc std,F1 mean,F1 std,Label Success mean,Label Success std
full_agentcf,0.8616333333333334,0.00459818804893113,0.8614,0.004613025037868342,0.4364666666666667,0.00569766033853662
single_agent_version,0.8566666666666668,0.005248174285723917,0.8563666666666667,0.005217598425840475,0.4402,0.001967231557290609
w_o_dynamic_threshold,0.8536333333333334,0.0035133080327994903,0.8534666666666667,0.0034933269720044302,0.4393,0.004203569911396763
w_o_planner,0.8455666666666666,0.0037072002014098397,0.8454,0.0038223029707233273,0.6288333333333332,0.004808672720547014
w_o_selector,0.8517,0.003686461718233364,0.8515,0.0035679125549822116,0.4418333333333333,0.0038785736209763066
w_o_verifier_feedback,0.8520666666666666,0.0034501207708329865,0.8519,0.0032999999999999696,0.47636666666666666,0.0041295681775863164
